"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"28",0.5,2.5,3,0.4,0.333333333,0.5,0.302613766,0.5,0.03,1,12,2,1,0.5,0.142857143,0.333333333,0.6785714285,0.4166666665,0.888888888888889,0.551724137931035
"29",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.04,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"30",0,0,2,1,1,1,1,1,0.04,2,14,0,0,1,0,1,1,0.5,1,1
"31",0,0,2,1,1,1,1,1,0.03,2,14,0,0,1,0,1,1,0.5,1,1
"32",0,0,2,1,1,1,1,1,0.03,2,14,0,0,1,0,1,1,0.5,1,1
"33",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.03,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"34",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.03,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"35",0,2,1,0.666666667,1,0.5,0.684653197,0.5,0.03,1,15,0,1,0.5,0,1,0.75,0.75,0.967741935483871,0.789473684444252
"36",0,0,2,1,1,1,1,1,0.03,2,14,0,0,1,0,1,1,0.5,1,1
"37",0,0,2,1,1,1,1,1,0.03,2,15,0,0,1,0,1,1,0.5,1,1
"38",0.5,0.5,2,0.5,0.5,0.5,0.4375,0.5,0.03,1,15,1,1,0.5,0.0625,0.5,0.71875,0.5,0.9375,0.652173913043478
"39",1,3,3,0,0,0,-0.18156826,0,0.05,0,11,3,2,0,0.214285714,0,0.392857143,0.5,0.814814814814815,0
"40",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.03,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"41",0.5,0.5,2,0.5,0.5,0.5,0.428571429,0.5,0.02,1,13,1,1,0.5,0.071428571,0.5,0.7142857145,0.5,0.928571428571429,0.65
"42",0.5,0.5,2,0.5,0.5,0.5,0.428571429,0.5,0.03,1,13,1,1,0.5,0.071428571,0.5,0.7142857145,0.5,0.928571428571429,0.65
"43",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.03,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"44",0,2,1,0.666666667,1,0.5,0.687184271,0.5,0.03,1,17,0,1,0.5,0,1,0.75,0.75,0.971428571428571,0.790697674653056
"45",0,0,2,1,1,1,1,1,0.01,2,17,0,0,1,0,1,1,0.5,1,1
"46",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.03,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
